"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"652","1","1","0","1","880.8","1218","510.864"
"754","2","2","0","2","233.2","1125","124.929"
"803","1","3","0","2","104.9","1891","94.460"
"958","1","1","0","2","158.3","109","8.217"
"964","1","2","0","3","797.2","1518","576.262"
"1017","3","1","0","1","188.2","1125","100.821"
"540","1","1","0","2","61.0","1125","32.679"
"997","1","1","0","2","226.5","1125","121.339"
"997","3","1","0","11","127.1","0","0.000"
"997","4","1","0","11","174.7","0","0.000"
"468","1","2","0","1","1042.6","7847","3895.849"
"340","1","2","0","1","1129.3","1891","1016.908"
"491","1","1","0","2","1404.4","545","364.475"
"766","5","1","0","3","2101.7","358","358.290"
"886","2","1","0","3","384.8","545","99.865"
"886","5","1","0","11","78.5","0","0.000"
"902","3","1","0","1","61.0","0","0.000"
"910","1","1","0","1","61.0","1125","32.679"
"712","2","2","0","2","115.0","545","29.845"
"316","1","1","0","2","151.6","1891","136.512"
"274","2","1","0","3","1016.6","1518","734.857"
"274","4","1","0","11","123.2","0","0.000"
"274","5","1","0","11","152.0","0","0.000"
"285","4","1","0","3","591.3","0","0.000"
"287","2","1","0","2","1280.1000000000001","745","454.131"
"306","1","1","0","2","137.1","745","48.638"
"306","2","1","0","11","101.7","0","0.000"
"306","3","1","0","11","137.1","0","0.000"
"323","1","1","0","1","61.0","745","21.640"
"327","1","2","0","8","5400.0","745","1915.714"
"327","2","2","0","8","5400.0","745","1915.714"
"351","2","1","0","3","689.3","1218","399.794"
"372","1","1","0","2","200.9","545","52.138"
"388","1","1","0","11","113.4","0","0.000"
"388","2","3","0","2","113.4","7847","423.738"
"399","2","1","0","3","623.0","1125","333.750"
"399","3","1","0","11","246.5","1125","132.054"
"400","1","3","0","2","206.9","1891","186.309"
"405","4","2","0","3","893.6","0","0.000"
"410","1","1","0","2","144.9","1218","84.042"
"412","2","1","0","3","540.1","1125","289.339"
"516","1","1","0","2","222.9","1218","129.282"
"524","1","1","0","2","87.9","358","14.985"
"524","2","1","0","11","87.9","0","0.000"
"524","3","1","0","11","87.9","0","0.000"
"543","1","1","0","2","150.5","1891","135.522"
"664","2","1","0","3","623.3","1518","450.557"
"711","1","5","0","2","73.0","1125","39.107"
"721","4","1","0","3","538.2","7847","2011.074"
"725","1","1","0","2","129.3","745","45.871"
"725","2","1","0","11","129.3","1125","69.268"
"725","3","1","0","11","129.3","0","0.000"
"738","1","1","0","2","135.2","1125","72.429"
"743","1","1","0","1","143.7","1125","76.982"
"743","3","1","0","1","143.7","0","0.000"
"744","1","1","0","1","143.7","7847","536.959"
"763","2","5","0","3","2631.3","545","682.885"
"769","1","1","0","2","212.0","745","75.210"
"777","1","2","0","2","97.9","1125","52.446"
"781","3","1","0","1","963.9","0","0.000"
"793","1","2","0","1","1407.4","7847","5258.985"
"794","1","1","0","2","70.0","1218","40.600"
"797","1","1","0","2","230.3","1125","123.375"
"797","2","1","0","11","230.3","1125","123.375"
"798","2","1","0","3","252.9","1125","135.482"
"798","3","1","0","11","79.1","0","0.000"
"807","1","1","0","2","117.4","745","41.649"
"807","2","1","0","11","117.4","0","0.000"
"807","3","1","0","11","83.4","0","0.000"
"827","1","3","0","2","192.8","1218","111.824"
"851","1","1","0","2","1343.4","1125","719.679"
"886","4","1","0","3","1191.0","1125","638.036"
"899","1","1","0","2","162.9","745","57.791"
"899","2","1","0","11","1313.9","0","0.000"
"899","3","1","0","11","162.9","0","0.000"
"905","2","1","0","1","920.9","358","156.992"
"932","1","1","0","2","268.0","1125","143.571"
"976","2","1","0","3","982.3","1125","526.232"
"976","3","1","0","11","125.5","1125","67.232"
"990","3","1","0","3","763.8","745","270.967"
"1029","2","1","0","3","1158.2","1125","620.464"
"1033","1","1","0","11","122.6","745","43.494"
"374","1","2","0","3","1354.3","1891","1219.515"
"403","2","1","0","3","300.9","1125","161.196"
"690","1","1","0","2","448.2","1125","240.107"
"274","4","2","0","11","96.6","0","0.000"
"744","1","2","0","3","1553.7","7847","5805.659"
"728","2","1","0","3","1213.2","7847","4533.324"
"652","1","2","0","3","1126.9","1218","653.602"
"323","1","2","0","3","1200.7","745","425.963"
"371","2","2","0","1","699.5","1218","405.710"
"718","3","1","0","3","1324.4","1125","709.500"
"754","13","2","0","3","1688.9","0","0.000"
"766","6","1","0","11","110.5","545","28.677"
"785","2","1","0","1","61.0","0","0.000"
"832","2","3","0","1","958.9","1125","513.696"
"857","1","7","0","8","6000.0","7847","22420.000"
"860","1","2","0","1","567.0","1218","328.860"
"886","2","2","0","3","384.8","545","99.865"
"886","5","2","0","3","665.7","0","0.000"
"910","1","2","0","3","797.2","1125","427.071"
"722","2","4","0","1","370.4","1218","214.832"
"807","1","2","0","2","210.2","745","74.571"
"1007","1","3","0","1","656.1","945","295.245"
"711","1","6","0","2","120.4","1125","64.500"
"278","3","1","0","11","213.5","0","0.000"
"278","4","1","0","11","97.8","0","0.000"
"281","2","2","0","3","1006.5","945","452.925"
"281","4","2","0","11","219.3","0","0.000"
"290","2","2","0","1","508.1","222","53.713"
"362","2","1","0","2","184.4","745","65.418"
"410","1","2","0","2","144.9","1218","84.042"
"509","1","4","0","2","222.9","358","37.999"
"522","1","1","0","11","131.8","222","13.933"
"662","2","3","0","1","1039.6","745","368.810"
"743","1","2","0","3","1242.1","1125","665.411"
"743","3","2","0","3","1242.1","0","0.000"
"781","1","1","0","2","223.6","1518","161.631"
"881","2","2","0","3","665.3","745","236.023"
"881","3","2","0","11","1239.0","0","0.000"
"881","5","2","0","11","1277.0","0","0.000"
"902","3","2","0","3","273.3","0","0.000"
"907","1","4","0","1","538.9","1125","288.696"
"931","2","1","0","1","168.1","1125","90.054"
"940","1","1","0","2","197.8","745","70.172"
"947","1","1","0","2","93.9","745","33.312"
"947","2","1","0","3","1935.3","1125","1036.768"
"1028","2","1","0","3","980.0","1125","525.000"
"1030","6","2","0","3","1706.9","745","605.543"
"468","1","3","0","1","473.7","7847","1770.059"
"722","5","4","0","1","575.4","358","98.092"
"779","1","4","0","1","575.5","1125","308.304"
"402","2","3","0","1","1643.4","745","583.016"
"377","1","1","0","1","422.2","1518","305.190"
"886","1","1","0","2","184.9","1125","99.054"
"287","1","3","0","1","272.0","745","96.495"
"284","2","1","0","1","61.0","0","0.000"
"302","1","1","0","2","132.3","1218","76.734"
"302","2","1","0","11","132.3","1891","119.133"
"309","2","1","0","1","120.7","0","0.000"
"313","1","1","0","2","153.5","1218","89.030"
"339","1","1","0","2","315.4","1218","182.932"
"380","3","1","0","3","620.5","1125","332.411"
"399","5","1","0","11","208.6","1125","111.750"
"432","1","1","0","3","864.7","545","224.410"
"432","3","1","0","3","864.7","0","0.000"
"529","1","1","0","1","1310.9","945","589.905"
"529","2","1","0","1","1310.9","1518","947.593"
"666","2","1","0","2","151.8","745","53.853"
"666","3","1","0","2","151.8","0","0.000"
"708","1","1","0","2","168.5","745","59.777"
"709","2","1","0","3","1783.1","745","632.576"
"740","1","1","0","11","109.8","1125","58.821"
"740","2","3","0","11","109.8","745","38.953"
"740","3","1","0","3","285.4","1518","206.303"
"740","4","1","0","11","109.8","0","0.000"
"785","2","2","0","3","754.4","0","0.000"
"867","1","1","0","2","78.4","1125","42.000"
"883","1","1","0","2","78.3","1125","41.946"
"903","1","4","0","1","411.9","1218","238.902"
"925","3","1","0","4","1012.2","1125","542.250"
"966","4","1","0","2","1233.7","1125","660.911"
"967","2","1","0","1","291.2","0","0.000"
"1000","1","2","0","2","87.0","1218","50.460"
"1006","1","2","0","2","216.6","1518","156.571"
"1013","1","2","0","2","168.2","745","59.671"
"1013","2","2","0","11","168.2","745","59.671"
"1017","3","2","0","3","604.5","1125","323.839"
"391","1","3","0","1","1009.4","745","358.097"
"432","2","1","0","1","864.7","0","0.000"
"726","1","2","0","2","432.1","1125","231.482"
"923","1","3","0","1","1561.5","358","266.199"
"274","2","2","0","3","448.5","1518","324.201"
"290","2","3","0","1","972.0","222","102.754"
"281","1","1","0","2","93.7","1125","50.196"
"299","3","1","0","2","101.7","0","0.000"
"299","4","1","0","2","101.7","0","0.000"
"426","3","1","0","3","424.3","545","110.116"
"431","1","2","0","2","1415.2","0","0.000"
"495","2","1","0","11","1297.9","0","0.000"
"715","1","1","0","1","202.4","1218","117.392"
"725","1","2","0","2","361.8","745","128.353"
"725","3","2","0","11","173.9","0","0.000"
"753","1","1","0","11","191.4","0","0.000"
"753","3","1","0","2","191.4","545","49.673"
"797","1","2","0","2","230.3","1125","123.375"
"798","1","1","0","2","1268.6000000000001","1125","679.607"
"911","1","1","0","1","147.2","1125","78.857"
"952","1","3","0","1","1021.4","1125","547.179"
"1015","1","1","0","2","140.7","1125","75.375"
"886","4","2","0","3","782.7","1125","419.304"
"437","1","3","0","2","182.5","1891","164.337"
"798","2","2","0","3","179.7","1125","96.268"
"851","1","2","0","2","1306.0","1125","699.643"
"652","1","3","0","1","1014.3","1218","588.294"
"278","3","2","0","2","214.0","0","0.000"
"310","2","3","0","3","1379.7","1218","800.226"
"392","4","3","0","1","546.0","222","57.720"
"418","3","1","0","3","513.2","1218","297.656"
"421","2","3","0","1","202.0","1125","108.214"
"708","1","2","0","2","168.5","745","59.777"
"744","2","3","0","11","256.8","1125","137.571"
"747","3","1","0","3","1724.9","1125","924.054"
"906","1","1","0","1","527.5","1891","475.001"
"994","2","1","0","1","843.4","545","218.882"
"274","2","3","0","3","527.2","1518","381.090"
