ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note,travel_zone,note_entry
357,86606,Kingsford_ Rainbow St nr Botany St,None,336897,6244736,Bus station,458,1,1,BUS_STOP,527,0
358,86607,Kingsford_ Anzac Pde nr Hayward St,None,336522,6244530,Bus station,461,1,1,BUS_STOP,532,0
359,86608,Kingsford_ Anzac Pde nr Botany St,None,336676,6244459,Bus station,461,1,1,BUS_STOP,530,0
360,86609,Kingsford_ Anzac Pde nr Sturt St,None,336506,6244624,Bus station,461,1,1,BUS_STOP,530,0
361,86610,Kingsford_ Rainbow St nr Kennedy St,None,336674,6244769,Bus station,461,1,1,BUS_STOP,526,0
362,86611,Kingsford_ Rainbow St nr Willis St,None,336404,6244807,Bus station,461,1,1,BUS_STOP,526,0
363,86612,Daceyville_ Bunnerong Rd nr Sergeant Larkin Cr,None,336265,6244521,Bus station,462,1,1,BUS_STOP,532,0
364,86613,Kingsford_ Bunnerong Rd nr Anderson St,None,336286,6244508,Bus station,462,1,1,BUS_STOP,532,0
365,86615,Kingsford_ Anzac Pde nr Wallace St,None,336342,6244756,Bus station,462,1,1,BUS_STOP,530,0
366,86619,Kensington_ Gardeners Rd nr Leonard Av,None,335497,6244715,Bus station,467,1,1,BUS_STOP,525,0
367,86623,Kingsford_ Avoca St nr Sturt St,None,337218,6244531,Bus station,473,1,1,BUS_STOP,530,0
368,86624,Randwick_ Avoca St nr Bundock St,None,337245,6244574,Bus station,473,1,1,BUS_STOP,533,0
369,86625,Randwick_ Rainbow St nr Avoca St,None,337200,6244712,Bus station,473,1,1,BUS_STOP,527,0
370,86626,Kingsford_ Rainbow St nr Avoca St,None,337205,6244690,Bus station,473,1,1,BUS_STOP,527,0
371,86627,Randwick_ Avoca St nr Rainbow St,None,337272,6244741,Bus station,473,1,1,BUS_STOP,528,0
372,86628,Randwick_ Avoca St nr Randwick Boys High,None,337268,6244817,Bus station,473,1,1,BUS_STOP,528,0
373,86629,Randwick_ Avoca St nr Randwick Boys High,None,337269,6244833,Bus station,473,1,1,BUS_STOP,528,0
374,86630,Randwick_ Avoca St nr Randwick Boys High,None,337272,6244850,Bus station,473,1,1,BUS_STOP,528,0
375,86631,Coogee_ Oberon St nr Arden St,None,338722,6244611,Bus station,474,1,1,BUS_STOP,531,0
376,86632,Coogee_ Oberon St nr Arden St,None,338716,6244591,Bus station,474,1,1,BUS_STOP,531,0
377,86633,Coogee_ Arden St opp Neptune St,None,338757,6244685,Bus station,474,1,1,BUS_STOP,531,0
378,86634,Coogee_ Arden St nr Dudley St,None,338787,6244725,Bus station,474,1,1,BUS_STOP,531,0
379,86642,Rosebery_ Gardeners Rd nr Racecourse Pl,None,334627,6244894,Bus station,477,1,1,BUS_STOP,294,0
380,86647,Kensington_ Gardeners Rd nr Eastern Av,None,335317,6244742,Bus station,480,1,1,BUS_STOP,524,0
381,86648,Kensington_ Gardeners Rd nr Maitland Av,None,335089,6244777,Bus station,480,1,1,BUS_STOP,524,0
382,86649,Kensington_ Eastern Av nr Gardeners Rd,None,335333,6244776,Bus station,480,1,1,BUS_STOP,525,0
383,86650,Kensington_ Eastern Av nr Tressider Av,None,335381,6245040,Bus station,480,1,1,BUS_STOP,525,0
384,86651,Kensington_ Eastern Av nr Gardeners Rd,None,335351,6244783,Bus station,480,1,1,BUS_STOP,525,0
385,86652,Randwick_ Rainbow St nr Rainbow St Primary,None,337040,6244735,Bus station,481,1,1,BUS_STOP,527,0
386,86653,Kingsford_ Rainbow St nr Paton St,None,337045,6244715,Bus station,481,1,1,BUS_STOP,527,0
387,86655,Kingsford_ Gardeners Rd nr Doncaster Av,None,335736,6244688,Bus station,482,1,1,BUS_STOP,525,0
388,86657,Kingsford_ Gardeners Rd nr Bruce St,None,335923,6244704,Bus station,482,1,1,BUS_STOP,525,0
389,86658,Randwick_ Rainbow St nr Botany St,None,336872,6244759,Bus station,488,1,1,BUS_STOP,527,0
390,86664,Kingsford_ Gardeners Rd nr Anzac Pde,None,336111,6244748,Bus station,491,1,1,BUS_STOP,525,0
391,86665,Kingsford_ Anzac Pde Stand B nr Gardeners Rd,None,336176,6244854,Bus station,491,1,1,BUS_STOP,526,0
392,86666,Kingsford_ Anzac Pde nr Rainbow St,None,336199,6244862,Bus station,491,1,1,BUS_STOP,526,0
393,86667,Kingsford_ Anzac Pde Stand E nr Rainbow St,None,336176,6244897,Bus station,491,1,1,BUS_STOP,526,0
394,86668,Kingsford_ Anzac Pde Stand C nr Rainbow St,None,336191,6244865,Bus station,491,1,1,BUS_STOP,526,0
395,86669,Kingsford_ Anzac Pde Stand D nr Rainbow St,None,336186,6244879,Bus station,491,1,1,BUS_STOP,526,0
396,86670,Randwick_ Avoca St nr Randwick Boys High,None,337274,6244867,Bus station,494,1,1,BUS_STOP,528,0
397,86671,Randwick_ Avoca St nr Randwick Boys High,None,337277,6244882,Bus station,494,1,1,BUS_STOP,528,0
398,86672,Coogee_ Havelock Av nr Asher St,None,338715,6244891,Bus station,495,1,1,BUS_STOP,531,0
399,86673,Coogee_ Havelock Av opp Asher St,None,338718,6244871,Bus station,495,1,1,BUS_STOP,531,0
400,86676,Rosebery_ Maloney St nr Evans Av,None,334262,6244855,Bus station,498,1,1,BUS_STOP,294,0
401,86679,Kingsford_ Kennedy St nr Meeks St,None,336621,6244936,Bus station,500,1,1,BUS_STOP,526,0
402,86680,Kingsford_ Rainbow St nr Willis St,None,336399,6244826,Bus station,500,1,1,BUS_STOP,526,0
403,86681,Kingsford_ Meeks St nr Forsyth St,None,336404,6244979,Bus station,500,1,1,BUS_STOP,526,0
404,86682,Kingsford_ Meeks St nr Forsyth St,None,336400,6244999,Bus station,500,1,1,BUS_STOP,526,0
405,86683,Kingsford_ Meeks St nr Anzac Pde,None,336152,6244984,Bus station,501,1,1,BUS_STOP,526,0
406,86684,Kingsford_ Meeks St nr Anzac Pde,None,336160,6245006,Bus station,501,1,1,BUS_STOP,526,0
